[u'mc', u'01', u'00000ad9', u'00000000', u'00000000', u'00000000', u'0abf', u'52', u'000bde87', u'a0:0']
[u'mr', u'01', u'00000a39', u'00000000', u'00000000', u'00000000', u'0abf', u'52', u'40494049', u'a0:0']
[u'mc', u'01', u'00000afe', u'00000000', u'00000000', u'00000000', u'0ac0', u'53', u'000bdf9f', u'a0:0']
[u'mr', u'01', u'00000a5e', u'00000000', u'00000000', u'00000000', u'0ac0', u'53', u'40494049', u'a0:0']
[u'mc', u'01', u'00000a6d', u'00000000', u'00000000', u'00000000', u'0ac1', u'54', u'000be0b7', u'a0:0']
[u'mr', u'01', u'000009c3', u'00000000', u'00000000', u'00000000', u'0ac1', u'54', u'40494049', u'a0:0']
[u'mc', u'01', u'000009f8', u'00000000', u'00000000', u'00000000', u'0ac2', u'55', u'000be1cf', u'a0:0']
[u'mr', u'01', u'0000094e', u'00000000', u'00000000', u'00000000', u'0ac2', u'55', u'40494049', u'a0:0']
[u'mc', u'01', u'00000a4d', u'00000000', u'00000000', u'00000000', u'0ac3', u'56', u'000be2e7', u'a0:0']
[u'mr', u'01', u'000009a3', u'00000000', u'00000000', u'00000000', u'0ac3', u'56', u'40494049', u'a0:0']
[u'mc', u'01', u'00000a35', u'00000000', u'00000000', u'00000000', u'0ac4', u'57', u'000be400', u'a0:0']
[u'mr', u'01', u'0000098b', u'00000000', u'00000000', u'00000000', u'0ac4', u'57', u'40494049', u'a0:0']
[u'mc', u'01', u'00000a2c', u'00000000', u'00000000', u'00000000', u'0ac5', u'58', u'000be518', u'a0:0']
[u'mr', u'01', u'00000982', u'00000000', u'00000000', u'00000000', u'0ac5', u'58', u'40494049', u'a0:0']
[u'mc', u'01', u'00000a72', u'00000000', u'00000000', u'00000000', u'0ac6', u'59', u'000be62f', u'a0:0']
[u'mr', u'01', u'000009d2', u'00000000', u'00000000', u'00000000', u'0ac6', u'59', u'40494049', u'a0:0']
[u'mc', u'01', u'00000a9c', u'00000000', u'00000000', u'00000000', u'0ac7', u'5a', u'000be748', u'a0:0']
[u'mr', u'01', u'000009fc', u'00000000', u'00000000', u'00000000', u'0ac7', u'5a', u'40494049', u'a0:0']
[u'mc', u'01', u'00000acf', u'00000000', u'00000000', u'00000000', u'0ac8', u'5b', u'000be860', u'a0:0']
[u'mr', u'01', u'00000a2f', u'00000000', u'00000000', u'00000000', u'0ac8', u'5b', u'40494049', u'a0:0']
[u'mc', u'01', u'00000af0', u'00000000', u'00000000', u'00000000', u'0ac9', u'5c', u'000be977', u'a0:0']
[u'mr', u'01', u'00000a50', u'00000000', u'00000000', u'00000000', u'0ac9', u'5c', u'40494049', u'a0:0']
[u'mc', u'01', u'00000b49', u'00000000', u'00000000', u'00000000', u'0aca', u'5d', u'000bea8f', u'a0:0']
[u'mr', u'01', u'00000aa9', u'00000000', u'00000000', u'00000000', u'0aca', u'5d', u'40494049', u'a0:0']
[u'mc', u'01', u'00000b65', u'00000000', u'00000000', u'00000000', u'0acb', u'5e', u'000beba7', u'a0:0']
[u'mr', u'01', u'00000acf', u'00000000', u'00000000', u'00000000', u'0acb', u'5e', u'40494049', u'a0:0']
[u'mc', u'01', u'00000bab', u'00000000', u'00000000', u'00000000', u'0acc', u'5f', u'000becc0', u'a0:0']
[u'mr', u'01', u'00000b15', u'00000000', u'00000000', u'00000000', u'0acc', u'5f', u'40494049', u'a0:0']
[u'mc', u'01', u'00000be8', u'00000000', u'00000000', u'00000000', u'0acd', u'60', u'000bedd8', u'a0:0']
[u'mr', u'01', u'00000b52', u'00000000', u'00000000', u'00000000', u'0acd', u'60', u'40494049', u'a0:0']
[u'mc', u'01', u'00000c4b', u'00000000', u'00000000', u'00000000', u'0ace', u'61', u'000beef0', u'a0:0']
[u'mr', u'01', u'00000bb5', u'00000000', u'00000000', u'00000000', u'0ace', u'61', u'40494049', u'a0:0']
[u'mc', u'01', u'00000c5d', u'00000000', u'00000000', u'00000000', u'0acf', u'62', u'000bf008', u'a0:0']
[u'mr', u'01', u'00000bc7', u'00000000', u'00000000', u'00000000', u'0acf', u'62', u'40494049', u'a0:0']
[u'mc', u'01', u'00000c83', u'00000000', u'00000000', u'00000000', u'0ad0', u'63', u'000bf11f', u'a0:0']
[u'mr', u'01', u'00000bed', u'00000000', u'00000000', u'00000000', u'0ad0', u'63', u'40494049', u'a0:0']
[u'mc', u'01', u'00000ce1', u'00000000', u'00000000', u'00000000', u'0ad1', u'64', u'000bf237', u'a0:0']
[u'mr', u'01', u'00000c4b', u'00000000', u'00000000', u'00000000', u'0ad1', u'64', u'40494049', u'a0:0']
[u'mc', u'01', u'00000d0b', u'00000000', u'00000000', u'00000000', u'0ad2', u'65', u'000bf34f', u'a0:0']
[u'mr', u'01', u'00000c75', u'00000000', u'00000000', u'00000000', u'0ad2', u'65', u'40494049', u'a0:0']
[u'mc', u'01', u'00000d47', u'00000000', u'00000000', u'00000000', u'0ad3', u'66', u'000bf467', u'a0:0']
[u'mr', u'01', u'00000cbb', u'00000000', u'00000000', u'00000000', u'0ad3', u'66', u'40494049', u'a0:0']
[u'mc', u'01', u'00000d97', u'00000000', u'00000000', u'00000000', u'0ad4', u'67', u'000bf57f', u'a0:0']
[u'mr', u'01', u'00000d0b', u'00000000', u'00000000', u'00000000', u'0ad4', u'67', u'40494049', u'a0:0']
[u'mc', u'01', u'00000dcf', u'00000000', u'00000000', u'00000000', u'0ad5', u'68', u'000bf697', u'a0:0']
[u'mr', u'01', u'00000d43', u'00000000', u'00000000', u'00000000', u'0ad5', u'68', u'40494049', u'a0:0']
[u'mc', u'01', u'00000e0c', u'00000000', u'00000000', u'00000000', u'0ad6', u'69', u'000bf7b0', u'a0:0']
[u'mr', u'01', u'00000d80', u'00000000', u'00000000', u'00000000', u'0ad6', u'69', u'40494049', u'a0:0']
[u'mc', u'01', u'00000e44', u'00000000', u'00000000', u'00000000', u'0ad7', u'6a', u'000bf8c8', u'a0:0']
[u'mr', u'01', u'00000dc2', u'00000000', u'00000000', u'00000000', u'0ad7', u'6a', u'40494049', u'a0:0']
[u'mc', u'01', u'00000e8f', u'00000000', u'00000000', u'00000000', u'0ad8', u'6b', u'000bf9df', u'a0:0']
[u'mr', u'01', u'00000e0d', u'00000000', u'00000000', u'00000000', u'0ad8', u'6b', u'40494049', u'a0:0']
[u'mc', u'01', u'00000eab', u'00000000', u'00000000', u'00000000', u'0ad9', u'6c', u'000bfaf8', u'a0:0']
[u'mr', u'01', u'00000e29', u'00000000', u'00000000', u'00000000', u'0ad9', u'6c', u'40494049', u'a0:0']
[u'mc', u'01', u'00000ecc', u'00000000', u'00000000', u'00000000', u'0ada', u'6d', u'000bfc0f', u'a0:0']
[u'mr', u'01', u'00000e4a', u'00000000', u'00000000', u'00000000', u'0ada', u'6d', u'40494049', u'a0:0']
[u'mc', u'01', u'00000f20', u'00000000', u'00000000', u'00000000', u'0adb', u'6e', u'000bfd27', u'a0:0']
[u'mr', u'01', u'00000e9e', u'00000000', u'00000000', u'00000000', u'0adb', u'6e', u'40494049', u'a0:0']
[u'mc', u'01', u'00000f88', u'00000000', u'00000000', u'00000000', u'0adc', u'6f', u'000bfe3f', u'a0:0']
[u'mr', u'01', u'00000f06', u'00000000', u'00000000', u'00000000', u'0adc', u'6f', u'40494049', u'a0:0']
[u'mc', u'01', u'00000fc5', u'00000000', u'00000000', u'00000000', u'0add', u'70', u'000bff58', u'a0:0']
[u'mr', u'01', u'00000f43', u'00000000', u'00000000', u'00000000', u'0add', u'70', u'40494049', u'a0:0']
[u'mc', u'01', u'00000ff3', u'00000000', u'00000000', u'00000000', u'0ade', u'71', u'000c0070', u'a0:0']
[u'mr', u'01', u'00000f71', u'00000000', u'00000000', u'00000000', u'0ade', u'71', u'40494049', u'a0:0']
